GEOID,name,household_income,sixtyandabove,diff
1,Alabama,1897576,730950,1166626
2,Alaska,252199,81214,170985
4,Arizona,2670441,1041261,1629180
5,Arkansas,1163647,445520,718127
6,California,13157873,4559228,8598645
8,Colorado,2235103,731302,1503801
9,Connecticut,1377166,535401,841765
10,Delaware,376239,154801,221438
11,District of Columbia,291570,78529,213041
12,Florida,7905832,3380457,4525375
13,Georgia,3852714,1280365,2572349
15,Hawaii,465299,196821,268478
16,Idaho,655859,240063,415796
17,Illinois,4866006,1759170,3106836
18,Indiana,2597765,935034,1662731
19,Iowa,1287221,471822,815399
20,Kansas,1138329,415421,722908
21,Kentucky,1748732,654678,1094054
22,Louisiana,1741076,652436,1088640
23,Maine,573618,244063,329555
24,Maryland,2226767,818875,1407892
25,Massachusetts,2650680,987623,1663057
26,Michigan,3969880,1542890,2426990
27,Minnesota,2222568,796183,1426385
28,Mississippi,1100229,418655,681574
29,Missouri,2458337,914972,1543365
30,Montana,437651,177939,259712
31,Nebraska,771444,269597,501847
32,Nevada,1143557,398847,744710
33,New Hampshire,541396,214584,326812
34,New Jersey,3286264,1238383,2047881
35,New Mexico,793420,321915,471505
36,New York,7446812,2814128,4632684
37,North Carolina,4046348,1467916,2578432
38,North Dakota,323519,104389,219130
39,Ohio,4730340,1790145,2940195
40,Oklahoma,1495151,540735,954416
41,Oregon,1649352,630473,1018879
42,Pennsylvania,5119249,2032693,3086556
44,Rhode Island,407174,161185,245989
45,South Carolina,1975915,777875,1198040
46,South Dakota,353799,130085,223714
47,Tennessee,2654737,967945,1686792
48,Texas,9985126,3063518,6921608
49,Utah,1023855,303110,720745
50,Vermont,262767,110413,152354
51,Virginia,3191847,1144813,2047034
53,Washington,2932477,1017267,1915210
54,West Virginia,728175,315153,413022
55,Wisconsin,2386623,889552,1497071
56,Wyoming,233128,85957,147171
